Item_Fat_Content,Item_Identifier,Item_Type,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Visibility,Item_Weight,Sales,Rating,Outlet Age
Regular,FDX11,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.106731895,16.0,183.6634,4.0,9
Low Fat,DRL47,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.038729457,19.7,127.3362,4.1,9
Low Fat,DRJ51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.08849163,14.1,231.1668,4.0,6
Low Fat,NCB43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.100114941,20.2,188.3898,4.4,11
Regular,FDN46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.14460413,7.21,102.6332,4.5,9
Low Fat,FDW11,Breads,2018,OUT013,Tier 3,High,Supermarket Type1,0.048741487,12.6,60.4194,3.8,8
Low Fat,NCY29,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.135226962,12.867122940430924,56.293,4.2,8
Low Fat,NCS17,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.080626601,12.867122940430924,92.5436,4.3,14
LF,FDN21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.076483451,12.867122940430924,163.1236,3.0,8
Regular,FDZ59,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.182128363,12.867122940430924,165.65,4.0,8
Regular,FDZ26,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.143990173,11.6,239.6222,3.7,9
Low Fat,FDS43,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.040507228,11.65,186.924,4.3,9
Low Fat,NCQ38,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.013355306,16.35,105.528,3.8,12
Regular,FDM09,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.086105815,11.15,167.879,4.3,11
Regular,FDR15,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.033276066,12.867122940430924,153.8314,3.9985355648535563,8
Regular,FDC14,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.041249072,14.5,40.5454,4.0,10
Regular,FDY40,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,0.143670179,15.5,143.9786,5.0,15
Regular,FDA27,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.031102571,20.35,257.2672,4.0,6
Regular,DRA59,Soft Drinks,2011,OUT010,Tier 3,Small,Grocery Store,0.214125129,8.27,143.9786,4.0,15
Low Fat,FDX09,Snack Foods,2018,OUT049,Tier 1,Medium,Supermarket Type1,0.065350715,9.0,175.437,4.2,8
Low Fat,FDG16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.089998959,15.25,215.1192,3.7,11
Low Fat,FDZ56,Fruits and Vegetables,2014,OUT013,Tier 3,Medium,Supermarket Type1,0.025715562,16.25,168.1474,3.7,12
Regular,FDX51,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.022093019,9.5,195.9452,4.2,14
Low Fat,FDA22,Starchy Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.084452363,7.435,165.2158,4.4,10
Low Fat,NCH55,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.058034349,16.35,124.802,4.5,15
Regular,FDJ20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.100330684,20.7,123.4388,4.5,14
Low Fat,FDU07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.059968347,11.1,152.8366,4.0,11
Low Fat,NCK54,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0,12.15,118.515,3.9,4
Low Fat,NCH54,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.072965144,12.867122940430924,160.692,3.7,4
Regular,FDU33,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05934663,7.63,143.9786,4.0,4
Low Fat,FDE34,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.180588082,9.195,182.2634,4.0,15
Low Fat,NCY18,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.031125709,7.285,174.3054,2.4,12
Low Fat,FDR46,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.05934663,12.867122940430924,147.476,4.0,8
Regular,FDP40,Frozen Foods,2014,OUT013,Tier 3,Medium,Supermarket Type1,0.034328578,12.867122940430924,143.9786,3.4,12
Regular,FDP03,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.10239789,5.15,122.1388,4.0,15
LF,FDZ27,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.017141985,7.935,50.035,4.4,12
